Starttid;Sluttid;Energi_KWh;Dygnsmedel;Bergsvärme
2011-03-26 20:38;2011-03-26 23:59;9;-2.7;0
2011-03-27 00:00;2011-03-27 23:59;78;-4.9;0
2011-03-28 00:00;2011-03-28 23:59;76;-5;0
2011-03-29 00:00;2011-03-29 23:59;78;-8;0
2011-03-30 00:00;2011-03-30 23:59;76;-6.4;0
2011-03-31 00:00;2011-03-31 23:59;67;-4.2;0
2011-04-01 00:00;2011-04-01 23:59;84;-1.5;0
2011-04-02 00:00;2011-04-02 23:59;78;0.7;0
2011-04-03 00:00;2011-04-03 23:59;69;3.7;0
2011-04-04 00:00;2011-04-04 23:59;65;0.6;0
2011-04-05 00:00;2011-04-05 23:59;61;2.6;0
2011-04-06 00:00;2011-04-06 23:59;57;1;0
2011-04-07 00:00;2011-04-07 23:59;69;0.1;0
2011-04-08 00:00;2011-04-08 23:59;60;0.4;0
2011-04-09 00:00;2011-04-09 23:59;73;3.3;0
2011-04-10 00:00;2011-04-10 23:59;55;2.8;0
2011-04-11 00:00;2011-04-11 23:59;51;4.3;0
2011-04-12 00:00;2011-04-12 23:59;51;0.8;0
2011-04-13 00:00;2011-04-13 23:59;47;4.2;0
2011-04-14 00:00;2011-04-14 23:59;41;3.8;0
2011-04-15 00:00;2011-04-15 23:59;46;5.7;0
2011-04-16 00:00;2011-04-16 23:59;50;7.3;0
2011-04-17 00:00;2011-04-17 23:59;51;7.8;0
2011-04-18 00:00;2011-04-18 23:59;42;5.5;0
2011-04-19 00:00;2011-04-19 23:59;43;3.9;0
2011-04-20 00:00;2011-04-20 23:59;60;4.7;0
2011-04-21 00:00;2011-04-21 23:59;56;4.2;0
2011-04-22 00:00;2011-04-22 23:59;65;6.4;0
2011-04-23 00:00;2011-04-23 23:59;43;6.1;0
2011-04-24 00:00;2011-04-24 23:59;49;5.9;0
2011-04-25 00:00;2011-04-25 23:59;62;5.8;0
2011-04-26 00:00;2011-04-26 23:59;41;8.2;0
2011-04-27 00:00;2011-04-27 23:59;41;7.1;0
2011-04-28 00:00;2011-04-28 23:59;38;7.9;0
2011-04-29 00:00;2011-04-29 23:59;49;8.7;0
2011-04-30 00:00;2011-04-30 23:59;53;6.3;0
2011-05-01 00:00;2011-05-01 23:59;58;5.1;0
2011-05-02 00:00;2011-05-02 23:59;47;3.8;0
2011-05-03 00:00;2011-05-03 23:59;51;1.9;0
2011-05-04 00:00;2011-05-04 23:59;50;3.6;0
2011-05-05 00:00;2011-05-05 23:59;46;5.9;0
2011-05-06 00:00;2011-05-06 23:59;46;6.2;0
2011-05-07 00:00;2011-05-07 23:59;57;6.5;0
2011-05-08 00:00;2011-05-08 23:59;49;7.2;0
2011-05-09 00:00;2011-05-09 23:59;44;12.7;0
2011-05-10 00:00;2011-05-10 23:59;38;8.9;0
2011-05-11 00:00;2011-05-11 23:59;39;7.8;0
2011-05-12 00:00;2011-05-12 23:59;39;8.7;0
2011-05-13 00:00;2011-05-13 23:59;36;8.1;0
2011-05-14 00:00;2011-05-14 23:59;54;7.5;0
2011-05-15 00:00;2011-05-15 23:59;53;6.7;0
2011-05-16 00:00;2011-05-16 23:59;44;6.7;0
2011-05-17 00:00;2011-05-17 23:59;44;7.1;0
2011-05-18 00:00;2011-05-18 23:59;56;7.5;0
2011-05-19 00:00;2011-05-19 23:59;43;7.4;0
2011-05-20 00:00;2011-05-20 23:59;42;10.8;0
2011-05-21 00:00;2011-05-21 23:59;32;8.7;0
2011-05-22 00:00;2011-05-22 23:59;37;11.1;0
2011-05-23 00:00;2011-05-23 23:59;38;10.6;0
2011-05-24 00:00;2011-05-24 23:59;39;9.3;0
2011-05-25 00:00;2011-05-25 23:59;41;12.5;0
2011-05-26 00:00;2011-05-26 23:59;37;10.2;0
2011-05-27 00:00;2011-05-27 23:59;43;8.7;0
2011-05-28 00:00;2011-05-28 23:59;51;7.8;0
2011-05-29 00:00;2011-05-29 23:59;55;8.4;0
2011-05-30 00:00;2011-05-30 23:59;40;12.8;0
2011-05-31 00:00;2011-05-31 23:59;41;9.9;0
2011-06-01 00:00;2011-06-01 23:59;49;11.5;0
2011-06-02 00:00;2011-06-02 23:59;35;11.8;0
2011-06-03 00:00;2011-06-03 23:59;27;15.1;0
2011-06-04 00:00;2011-06-04 23:59;27;14.5;0
2011-06-05 00:00;2011-06-05 23:59;28;11.6;0
2011-06-06 00:00;2011-06-06 23:59;36;13;0
2011-06-07 00:00;2011-06-07 23:59;34;16.8;0
2011-06-08 00:00;2011-06-08 23:59;34;19.1;0
2011-06-09 00:00;2011-06-09 23:59;40;20.3;0
2011-06-10 00:00;2011-06-10 23:59;49;Nan;0
2011-06-11 00:00;2011-06-11 23:17;37;Nan;0
2011-06-12 10:39;2011-06-12 23:59;27;Nan;0
2011-06-13 00:00;2011-06-13 23:59;42;10.1;0
2011-06-14 00:00;2011-06-14 23:59;38;12.4;0
2011-06-15 00:00;2011-06-15 23:59;40;13.7;0
2011-06-16 00:00;2011-06-16 23:59;41;16.5;0
2011-06-17 00:00;2011-06-17 23:59;41;14.7;0
2011-06-18 00:00;2011-06-18 23:59;54;13.2;0
2011-06-19 00:00;2011-06-19 23:59;36;13.7;0
2011-06-20 00:00;2011-06-20 23:59;40;13;0
2011-06-21 00:00;2011-06-21 23:59;36;10.4;0
2011-06-22 00:00;2011-06-22 23:59;43;13.3;0
2011-06-23 00:00;2011-06-23 23:59;32;13.8;0
2011-06-24 00:00;2011-06-24 23:59;22;15.8;0
2011-06-25 00:00;2011-06-25 23:59;23;15.7;0
2011-06-26 00:00;2011-06-26 23:59;32;16.6;0
2011-06-27 00:00;2011-06-27 23:59;42;17.4;0
2011-06-28 00:00;2011-06-28 23:59;36;18.3;0
2011-06-29 00:00;2011-06-29 23:59;42;22.5;0
2011-06-30 00:00;2011-06-30 23:59;38;22.4;0
2011-07-01 00:00;2011-07-01 23:59;40;19.9;0
2011-07-02 00:00;2011-07-02 23:59;43;17;0
2011-07-03 00:00;2011-07-03 23:59;40;15.6;0
2011-07-04 00:00;2011-07-04 23:59;47;14.7;0
2011-07-05 00:00;2011-07-05 23:59;40;16.1;0
2011-07-06 00:00;2011-07-06 23:59;52;17.9;0
2011-07-07 00:00;2011-07-07 23:59;38;18;0
2011-07-08 00:00;2011-07-08 23:59;41;20.4;0
2011-07-09 00:00;2011-07-09 23:59;38;20.7;0
2011-07-10 00:00;2011-07-10 23:59;32;21.4;0
2011-07-11 00:00;2011-07-11 23:59;37;20.7;0
2011-07-12 00:00;2011-07-12 23:59;29;16.9;0
2011-07-13 00:00;2011-07-13 23:59;46;15.9;0
2011-07-14 00:00;2011-07-14 23:59;37;16;0
2011-07-15 00:00;2011-07-15 23:59;31;15.4;0
2011-07-16 00:00;2011-07-16 23:59;31;15.5;0
2011-07-17 00:00;2011-07-17 23:59;38;17.1;0
2011-07-18 00:00;2011-07-18 23:59;12;17.2;0
2011-07-19 00:00;2011-07-19 23:59;13;18.2;0
2011-07-20 00:00;2011-07-20 23:59;13;19.5;0
2011-07-21 00:00;2011-07-21 23:59;12;19.8;0
2011-07-22 00:00;2011-07-22 23:59;17;21.1;0
2011-07-23 00:00;2011-07-23 23:59;43;20.9;0
2011-07-24 00:00;2011-07-24 23:59;19;19.6;0
2011-07-25 00:00;2011-07-25 23:59;12;17.8;0
2011-07-26 00:00;2011-07-26 23:59;12;18;0
2011-07-27 00:00;2011-07-27 23:59;12;20.3;0
2011-07-28 00:00;2011-07-28 23:59;20;19.4;0
2011-07-29 00:00;2011-07-29 23:59;49;18.2;0
2011-07-30 00:00;2011-07-30 23:59;30;19.2;0
2011-07-31 00:00;2011-07-31 23:59;33;17.1;0
2011-08-01 00:00;2011-08-01 23:59;31;14.7;0
2011-08-02 00:00;2011-08-02 23:59;35;15.7;0
2011-08-03 00:00;2011-08-03 23:59;35;20.2;0
2011-08-04 00:00;2011-08-04 23:59;31;17.3;0
2011-08-05 00:00;2011-08-05 23:59;32;14.3;0
2011-08-06 00:00;2011-08-06 23:59;43;14.7;0
2011-08-07 00:00;2011-08-07 23:59;41;15.3;0
2011-08-08 00:00;2011-08-08 23:59;36;12.9;0
2011-08-09 00:00;2011-08-09 23:59;33;12.8;0
2011-08-10 00:00;2011-08-10 23:59;32;11.1;0
2011-08-11 00:00;2011-08-11 23:59;39;11.5;0
2011-08-12 00:00;2011-08-12 23:59;32;11.3;0
2011-08-13 00:00;2011-08-13 23:59;44;12.1;0
2011-08-14 00:00;2011-08-14 23:59;37;13.9;0
2011-08-15 00:00;2011-08-15 23:59;39;15.3;0
2011-08-16 00:00;2011-08-16 23:59;31;16.4;0
2011-08-17 00:00;2011-08-17 23:59;32;12.4;0
2011-08-18 00:00;2011-08-18 23:59;30;13.7;0
2011-08-19 00:00;2011-08-19 23:59;31;11.1;0
2011-08-20 00:00;2011-08-20 23:59;28;14.6;0
2011-08-21 00:00;2011-08-21 23:59;35;14.3;0
2011-08-22 00:00;2011-08-22 23:59;31;11.9;0
2011-08-23 00:00;2011-08-23 23:59;35;14.8;0
2011-08-24 00:00;2011-08-24 23:59;29;13.7;0
2011-08-25 00:00;2011-08-25 23:59;35;13.5;0
2011-08-26 00:00;2011-08-26 23:59;29;13.3;0
2011-08-27 00:00;2011-08-27 23:59;37;17.5;0
2011-08-28 00:00;2011-08-28 23:59;36;12.4;0
2011-08-29 00:00;2011-08-29 23:59;31;15.7;0
2011-08-30 00:00;2011-08-30 23:59;29;12.4;0
2011-08-31 00:00;2011-08-31 23:59;29;12.2;0
2011-09-01 00:00;2011-09-01 23:59;29;9.9;0
2011-09-02 00:00;2011-09-02 23:59;37;10.5;0
2011-09-03 00:00;2011-09-03 23:59;37;11.6;0
2011-09-04 00:00;2011-09-04 23:59;38;12.6;0
2011-09-05 00:00;2011-09-05 23:59;39;15.5;0
2011-09-06 00:00;2011-09-06 23:59;35;14.8;0
2011-09-07 00:00;2011-09-07 23:59;31;13.5;0
2011-09-08 00:00;2011-09-08 23:59;34;14.1;0
2011-09-09 00:00;2011-09-09 23:59;31;13.3;0
