tid,år,månad,SE1,SE2,SE3,SE4
2013M04,2013,04,80.9,80.9,80.6,82.8
2013M05,2013,05,80.7,80.9,80.7,82.7
2013M06,2013,06,80,80,79.8,81.2
2013M07,2013,07,80,80,79.8,81.1
2013M08,2013,08,78.9,79.2,79.2,81.1
2013M09,2013,09,79.4,79.4,79.3,80.4
2013M10,2013,10,80,80,79.7,80.7
2013M11,2013,11,79.3,79.5,79.2,80.2
2013M12,2013,12,78.6,78.6,78.6,79.7
2014M01,2014,01,77.3,77.3,77.5,78
2014M02,2014,02,74.3,74.4,74.5,79.1
2014M03,2014,03,73.1,73.5,74.8,78.3
2014M04,2014,04,69.5,70.6,73.3,76.3
2014M05,2014,05,69.4,70.2,74.5,74.4
2014M06,2014,06,72,70.9,74.5,75.2
2014M07,2014,07,68.9,69.2,73.1,73.4
2014M08,2014,08,70.6,69.9,73,73.4
2014M09,2014,09,70.5,70.9,74.9,75.1
2014M10,2014,10,72.7,73.9,73.6,76.3
2014M11,2014,11,69.6,73.3,72.9,73.2
2014M12,2014,12,71,73.3,73.5,74
2015M01,2015,01,68.8,73.9,73.3,75.3
2015M02,2015,02,68,72.6,72.5,74.2
2015M03,2015,03,65.4,70.7,72.2,74
2015M04,2015,04,67.5,68.9,70.8,73.4
2015M05,2015,05,67.6,68.3,71.4,71.4
2015M06,2015,06,63.7,67.4,70.8,70.7
2015M07,2015,07,59.2,64.9,69.2,69.2
2015M08,2015,08,60.1,62.3,67.1,67.3
2015M09,2015,09,66.7,62.4,69.3,70.3
2015M10,2015,10,61.6,62.4,69,70.6
2015M11,2015,11,66.5,63.5,68.7,70.6
2015M12,2015,12,64,63.9,68.8,70.7
2016M01,2016,01,62.3,63,67.5,69.9
2016M02,2016,02,69.5,67.7,69.1,71.4
2016M03,2016,03,67.5,65.7,67.8,70.1
2016M04,2016,04,65.8,64.9,68.5,68.4
2016M05,2016,05,64.9,63.6,67.8,69.6
2016M06,2016,06,61.8,64.9,68.1,69.6
2016M07,2016,07,64.2,67.4,69.5,70.2
